ellipse,gt1,gt2,projected
5.263251983167774872e-01,7.948980140846708883e-03,7.886900744945112285e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,7.550241270407487271e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,7.767279577043931793e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,7.675456026994121883e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,6.882806229922970864e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,6.982154891212256631e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,6.982154891212256631e-01,2.697086918663768114e-07
5.263251983167774872e-01,7.948980140846708883e-03,6.982154891212256631e-01,2.697086918663768114e-07
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.694909289080599901e-01,2.697600423621810458e-03,8.790108605448111456e-01,8.886476550601756527e-08
4.822367444939185122e-01,1.502672868904421323e-03,8.010427648730498174e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,8.010427648730498174e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,7.596296025038233868e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,8.010427648730498174e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,8.010427648730498174e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,8.010427648730498174e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,7.747134824504298134e-01,1.604401892213031302e-07
4.822367444939185122e-01,1.502672868904421323e-03,7.532617649985581254e-01,1.604401892213031302e-07
5.122533575156643648e-01,2.770534748090304825e-03,8.010670946192358644e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.082647511306757515e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.082647511306757515e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.082647511306757515e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.010670946192358644e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.082647511306757515e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.082647511306757515e-01,9.724521410963125299e-08
5.122533575156643648e-01,2.770534748090304825e-03,8.082647511306757515e-01,9.724521410963125299e-08
4.705035275264346506e-01,2.981836736636896742e-03,7.042844663624132640e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.170859064188327414e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.187553860763212787e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.727011064935911389e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.483881022027379926e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.370441155822052837e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.760144745199397676e-01,2.293690098435565655e-07
4.705035275264346506e-01,2.981836736636896742e-03,7.483881022027379926e-01,2.293690098435565655e-07
5.657855999274076231e-01,5.367261251585128505e-03,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,1.833646499037657612e-02,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,1.432639563851977396e-02,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,1.896022968562215485e-02,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,5.367261251585128505e-03,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,1.896022968562215485e-02,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,5.367261251585128505e-03,8.328589862126251075e-01,2.369146652544251161e-07
5.657855999274076231e-01,5.367261251585128505e-03,8.328589862126251075e-01,2.369146652544251161e-07
5.200782005905696392e-01,2.636255788827444012e-03,8.613601236958481344e-01,3.807485546824346598e-07
5.200782005905696392e-01,2.636255788827444012e-03,8.662258262742158488e-01,3.807485546824346598e-07
5.200782005905696392e-01,2.636255788827444012e-03,8.583261845304760440e-01,3.807485546824346598e-07
5.200782005905696392e-01,2.636255788827444012e-03,8.613601236958481344e-01,3.807485546824346598e-07
5.200782005905696392e-01,2.636255788827444012e-03,7.942907993544141565e-01,3.807485546824346598e-07
5.200782005905696392e-01,2.636255788827444012e-03,8.152950563192048472e-01,3.807485546824346598e-07
