ellipse,gt1,gt2,projected
3.861410902025235597e-02,1.411758299243317995e-03,5.849492798452200076e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,5.590319466448027269e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,5.813372837391993925e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,5.749280178475426467e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,4.892709666896948029e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,5.066420912867442006e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,5.066420912867442006e-02,7.677034756146332634e-08
3.861410902025235597e-02,1.411758299243317995e-03,5.066420912867442006e-02,7.677034756146332634e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.306758722211255302e-02,6.190367718695446260e-04,7.984155407037925312e-02,2.456218273013437717e-08
3.430237513391252296e-02,8.129363478993568894e-04,5.913764719288005373e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,5.913764719288005373e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,4.932039937985324002e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,5.913764719288005373e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,5.913764719288005373e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,5.913764719288005373e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,5.263180352238831100e-02,2.513550386508431582e-08
3.430237513391252296e-02,8.129363478993568894e-04,4.799558913488965323e-02,2.513550386508431582e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.603991225906518714e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.835088730977417260e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.835088730977417260e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.835088730977417260e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.603991225906518714e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.835088730977417260e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.835088730977417260e-02,3.039499312358373782e-08
4.034598552064615901e-02,7.486545092859440021e-04,7.835088730977417260e-02,3.039499312358373782e-08
3.353198120217388417e-02,5.866711913391551127e-04,5.168257284242526450e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,4.364988628906685958e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,4.238706127923461825e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,5.012410898587289082e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,5.447383828387528104e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,5.373501540280191391e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,5.065979673243633380e-02,4.898394790280743646e-08
3.353198120217388417e-02,5.866711913391551127e-04,5.447383828387528104e-02,4.898394790280743646e-08
5.340393186311984119e-02,5.792442465235807638e-04,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,4.021907099185781029e-03,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,3.004659435580809071e-03,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,3.962047960605295620e-03,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,5.792442465235807638e-04,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,3.962047960605295620e-03,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,5.792442465235807638e-04,6.700957178941989445e-02,4.407570270076201857e-08
5.340393186311984119e-02,5.792442465235807638e-04,6.700957178941989445e-02,4.407570270076201857e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.181627777186774808e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.274776386689948970e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.351093863970090125e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.181627777186774808e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.138513021296680194e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,6.514591786267366624e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.351093917847402459e-02,3.516545565547456722e-08
4.100130337319529000e-02,4.951703295257932260e-04,7.138513021296680194e-02,3.516545565547456722e-08
3.351246816172517157e-02,1.640272905553751253e-03,5.389089648953029887e-02,1.115420651191618835e-07
3.351246816172517157e-02,1.640272905553751253e-03,5.766828610141837980e-02,1.115420651191618835e-07
3.351246816172517157e-02,1.640272905553751253e-03,5.181591684283078786e-02,1.115420651191618835e-07
3.351246816172517157e-02,1.640272905553751253e-03,5.766828610141837980e-02,1.115420651191618835e-07
3.351246816172517157e-02,1.640272905553751253e-03,6.262732072866505906e-02,1.115420651191618835e-07
3.351246816172517157e-02,1.640272905553751253e-03,5.130590680028088851e-02,1.115420651191618835e-07
3.351246816172517157e-02,1.640272905553751253e-03,5.389089648953029887e-02,1.115420651191618835e-07
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
3.351246816172517157e-02,1.640272905553751253e-03,6.262732072866505906e-02,1.115420651191618835e-07
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
2.305510553732982235e-02,4.868722530917888561e-04,4.480046033721995363e-02,4.023633954159599253e-08
2.305510553732982235e-02,4.868722530917888561e-04,4.480046033721995363e-02,4.023633954159599253e-08
3.769894572755692203e-02,8.246364492800172799e-04,3.503763010539048817e-02,3.477220583903951498e-08
2.305510553732982235e-02,4.868722530917888561e-04,4.480046033721995363e-02,4.023633954159599253e-08
2.305510553732982235e-02,4.563967311378466785e-03,4.480046033721995363e-02,4.023633954159599253e-08
2.305510553732982235e-02,4.868722530917888561e-04,4.480046033721995363e-02,4.023633954159599253e-08
2.305510553732982235e-02,3.215835609037024593e-03,4.480046033721995363e-02,4.023633954159599253e-08
2.305510553732982235e-02,4.868722530917888561e-04,4.480046033721995363e-02,4.023633954159599253e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.711269421337828583e-02,4.487640729449028569e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.711269421337828583e-02,4.487640729449028569e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.711269421337828583e-02,4.487640729449028569e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.711269421337828583e-02,4.487640729449028569e-08
2.305510553732982235e-02,4.868722530917888561e-04,4.480046033721995363e-02,4.023633954159599253e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.654043216308215353e-02,4.487640729449028569e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.654043216308215353e-02,4.487640729449028569e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.553787155511408918e-02,4.487640729449028569e-08
3.737093688779107026e-02,5.908677639211576882e-04,8.124572751577154028e-02,4.510791647216863893e-08
3.737093688779107026e-02,5.908677639211576882e-04,7.527377317285387226e-02,4.510791647216863893e-08
3.737093688779107026e-02,5.908677639211576882e-04,7.615829495298973018e-02,4.510791647216863893e-08
3.737093688779107026e-02,5.908677639211576882e-04,7.318328135455758054e-02,4.510791647216863893e-08
3.737093688779107026e-02,5.908677639211576882e-04,7.619545061347289538e-02,4.510791647216863893e-08
3.448184353130234747e-02,1.302750842310996431e-03,5.711269421337828583e-02,4.487640729449028569e-08
3.737093688779107026e-02,5.908677639211576882e-04,7.886760807309774191e-02,4.510791647216863893e-08
3.737093688779107026e-02,5.908677639211576882e-04,7.707020723533837547e-02,4.510791647216863893e-08
4.150587189566772028e-02,3.492781791404421955e-03,7.455463279441444657e-02,2.882664069780285966e-08
4.150587189566772028e-02,1.491953040692369685e-03,7.455463279441444657e-02,2.882664069780285966e-08
4.150587189566772028e-02,3.072151693837486992e-03,7.455463279441444657e-02,2.882664069780285966e-08
4.150587189566772028e-02,1.491953040692369685e-03,7.455463279441444657e-02,2.882664069780285966e-08
4.150587189566772028e-02,1.491953040692369685e-03,7.455463279441444657e-02,2.882664069780285966e-08
